Breakdown,ttm,2/28/2019,2/28/2018,2/28/2017
Net Income,1850028,1955424,2934866,2081665
Depreciation & amortization,-,1524009,1581431,1518380
Change in working capital,-,60673,-82476,58198
Inventory,-,-14972,-6238,16999
Other working capital,-,3890151,3197502,2890995
Other non-cash items,-,1138055,-439499,631439
Net cash provided by operating activites,-,4590426,4476277,5119024
Investments in property plant and equipment,-,-700275,-1278775,-2228029
Sales/Maturities of investments,-,-,-,2000000
Other investing activites,-,-245890,-474392,-562129
Net cash used for investing activites,-,2053835,1246833,-6790158
Net change in cash,-,209632,3285497,-2589804
Cash at beginning of period,-,7994799,4709301,7289205
Cash at end of period,-,8204432,7994799,4709301
Operating Cash Flow,-,4590426,4476277,5119024
Capital Expenditure,-,-700275,-1278775,-2228029
Free Cash Flow,-,3890151,3197502,2890995
