Breakdown,ttm,6/30/2019,6/30/2018,6/30/2017,6/30/2016
Investments in property plant and equipment,-,-,-5.615,-,-
Purchases of investments,-,-314.033,-196.156,-,-
Sales/Maturities of investments,-,-,3100,-,-
Other investing activites,-,-,65,-299.774,-525.442
Net cash used for investing activites,-529.685,-314.033,2963,-335.453,74.558
Common stock issued,-,-,8.8,857.124,2076
Common stock repurchased,-,-,-,-33.866,-283.084
Other financing activites,-,-,-,-157.95,-
Net cash used privided by (used for) financing activities,-,-,8.8,665.308,1792
Net change in cash,-1120,-1601,1288,-588.943,1277
Cash at beginning of period,1308,2091,802.732,1392,114.643
Cash at end of period,187.26,490.509,2091,802.732,1392
Capital Expenditure,-,-,-5.615,-,-
Free Cash Flow,-1195,-1287,-1689,-918.798,-589.989
