Breakdown,ttm,6/30/2019,6/30/2018,6/30/2017,6/30/2016
Investments in property plant and equipment,-,-,-5.94,-27.749,-8.81
Purchases of investments,-,-2,-,-,-
Sales/Maturities of investments,-,114.103,-,-,-
Net cash used for investing activites,-,112.103,-5.94,-27.749,-8.81
Debt repayment,-,-51.1,-,-100,-185.398
Common stock issued,-,702.9,2582,644.409,1639
Common stock repurchased,-,-1.478,-194.428,-113.225,-66.925
Other financing activites,-,-,-63.377,-25.883,-5
Net cash used privided by (used for) financing activities,289.645,781.422,3124,875.301,1541
Net change in cash,16.081,-1043,957.469,-266.345,69.43
Cash at beginning of period,194.058,1067,109.357,375.702,306.272
Cash at end of period,210.139,23.567,1067,109.357,375.702
Capital Expenditure,-,-,-5.94,-27.749,-8.81
Free Cash Flow,-647.502,-1937,-2166,-1142,-1472
