Breakdown,6/30/2019,6/30/2018
Total Assets,597689,499262
Liabilities,,
Total Liabilities,123364,13257
Stockholders' Equity,,
Common Stock,4953,4943
Retained Earnings,17808,3237
Total stockholders' equity,474325,486005
Total liabilities and stockholders' equity,597689,499262
