Breakdown,ttm,3/31/2019,3/31/2018,3/31/2017
Net Income,14145000,13023000,14719000,16452000
Depreciation & amortization,-,27911000,27122000,26516000
Change in working capital,-,-4489000,10055000,-4358000
Inventory,-,3698000,-51000,-3448000
Other working capital,-,38729000,58477000,42753000
Other non-cash items,-,3328000,4604000,4856000
Net cash provided by operating activites,-,38729000,58477000,42753000
Acquisitions net,-,-,-,-260000
Purchases of investments,-,-1169000,-8000,-26000
Sales/Maturities of investments,-,500000,497000,442000
Other investing activites,-,-44787000,-41158000,-30931000
Net cash used for investing activites,-,-45219000,-40669000,-30861000
Net change in cash,-,2143000,1379000,-14000
Cash at beginning of period,-,19721000,18342000,18294000
Cash at end of period,-,21864000,19721000,18342000
Operating Cash Flow,-,38729000,58477000,42753000
Free Cash Flow,-,38729000,58477000,42753000
