Breakdown,ttm,2/28/2019,2/28/2018,2/28/2017
Net Income,917902,609594,374465,217744
Depreciation & amortization,-,585024,584854,662008
Change in working capital,-,680325,-481412,290687
Inventory,-,-54603,48423,231516
Other working capital,-,1707121,352081,1086780
Other non-cash items,-,17741,8799,-16552
Net cash provided by operating activites,-,2001858,558424,1215130
Investments in property plant and equipment,-,-294737,-206343,-128350
Purchases of investments,-,-83484,-47462,-64238
Sales/Maturities of investments,-,101936,29123,52500
Other investing activites,-,-25668,-17136,-11142
Net cash used for investing activites,-,-301754,-240266,-150348
Net change in cash,-,526335,-38197,265793
Cash at beginning of period,-,1148666,1186864,921070
Cash at end of period,-,1675002,1148666,1186864
Operating Cash Flow,-,2001858,558424,1215130
Capital Expenditure,-,-294737,-206343,-128350
Free Cash Flow,-,1707121,352081,1086780
