Breakdown,ttm,3/31/2019,3/31/2018,3/31/2017
Net Income,2363186,1803564,2409755,1817046
Depreciation & amortization,-,1108786,969966,996599
Change in working capital,-,-405239,-570697,1081669
Inventory,-,107248,-897066,838424
Other working capital,-,-126536,839066,4701521
Other non-cash items,-,-69813,-59023,971474
Net cash provided by operating activites,-,2186103,2660492,5150283
Investments in property plant and equipment,-,-2312639,-1821426,-448762
Purchases of investments,-,-10026,-63721,-42120
Sales/Maturities of investments,-,56090,76921,12939
Other investing activites,-,-38872,-22900,-151924
Net cash used for investing activites,-,-2304765,-1825873,-621727
Net change in cash,-,-793828,469540,3839143
Cash at beginning of period,-,11865812,11396272,7552134
Cash at end of period,-,11071984,11865812,11396272
Operating Cash Flow,-,2186103,2660492,5150283
Capital Expenditure,-,-2312639,-1821426,-448762
Free Cash Flow,-,-126536,839066,4701521
