Breakdown,ttm,12/31/2019,12/31/2018,12/31/2017,12/31/2016
Net Income,2565000,2565000,2424000,2203000,1951000
Depreciation & amortization,3407000,3407000,3541000,3610000,3615000
Change in working capital,241000,241000,-19000,461000,1007000
Inventory,-28000,-28000,57000,-54000,-18000
Other working capital,-3760000,-3760000,-1243000,2780000,-6229000
Other non-cash items,464000,464000,17000,790000,447000
Net cash provided by operating activites,7297000,7297000,6050000,7062000,6559000
Investments in property plant and equipment,-11057000,-11057000,-7293000,-4282000,-12788000
Purchases of investments,-2521000,-2521000,-,-257000,-300000
Sales/Maturities of investments,473000,473000,149000,767000,1659000
Other investing activites,-531000,-531000,-5000,-204000,-816000
Net cash used for investing activites,-12838000,-12838000,-375000,-3976000,-12352000
Net change in cash,4141000,4141000,9375000,-483000,-2733000
Cash at beginning of period,24117000,24117000,14896000,15380000,17863000
Cash at end of period,28259000,28259000,24117000,14896000,15380000
Operating Cash Flow,7297000,7297000,6050000,7062000,6559000
Capital Expenditure,-11057000,-11057000,-7293000,-4282000,-12788000
Free Cash Flow,-3760000,-3760000,-1243000,2780000,-6229000
