Breakdown,ttm,3/31/2019,3/31/2018,3/31/2017
Investments in property plant and equipment,-,-64.164,-171.8955,-403.653
Purchases of investments,-,-,-,-5388
Other investing activites,-,957.6709,4603,-
Net cash used for investing activites,-,893.507,4431,-5792
Common stock issued,-,-,12169,24239
Common stock repurchased,-751.5407,-42.1375,-931.8054,-
Other financing activites,-,-,-,-2527
Net cash used privided by (used for) financing activities,5114,2352,11237,21712
Net change in cash,532.3302,-5739,91.114,3884
Cash at beginning of period,1430,6988,7030,3088
Cash at end of period,1963,1302,6854,6835
Capital Expenditure,-,-64.164,-171.8955,-403.653
Free Cash Flow,-4623,-9049,-15749,-12440
