Breakdown,ttm,12/31/2019,12/31/2018,12/31/2017,12/31/2016
Investments in property plant and equipment,-13861,-13861,-7862,-9621,-8837
Acquisitions net,-173,-173,-,-,-
Sales/Maturities of investments,25053,25053,10609,11541,10767
Other investing activites,2056,2056,167,10,1500
Net cash used for investing activites,13075,13075,2914,1930,3457
Net change in cash,10045,10045,1020,-462,1337
Cash at beginning of period,3890,3890,2870,3332,1995
Cash at end of period,13935,13935,3890,2870,3332
Capital Expenditure,-13861,-13861,-7862,-9621,-8837
Free Cash Flow,-16891,-16891,-9756,-12013,-10957
