Breakdown,ttm,3/31/2019,3/31/2018,3/31/2017
Net Income,7760000,10343000,9665000,5802000
Depreciation & amortization,-,3318000,3023000,3178000
Change in working capital,-,-3718000,-3857000,-4141000
Inventory,-,-1983000,-1504000,-4721000
Other working capital,-,1601000,-6432000,24000
Other non-cash items,-,513000,453000,352000
Net cash provided by operating activites,-,8558000,8924000,8214000
Investments in property plant and equipment,-,-6957000,-15356000,-8190000
Acquisitions net,-,-4924000,-,-2623000
Purchases of investments,-,-1554000,-3019000,-1219000
Sales/Maturities of investments,-,2114000,2781000,1874000
Other investing activites,-,-887000,-436000,295000
Net cash used for investing activites,-,-12724000,-12853000,-9945000
Net change in cash,-,-677000,2612000,1176000
Cash at beginning of period,-,22028000,19416000,18239000
Cash at end of period,-,21351000,22028000,19416000
Operating Cash Flow,-,8558000,8924000,8214000
Capital Expenditure,-,-6957000,-15356000,-8190000
Free Cash Flow,-,1601000,-6432000,24000
