Breakdown,ttm,3/31/2019,3/31/2018,3/31/2017
Net Income,2769930,2748579,2523264,2497540
Depreciation & amortization,-,404640,423462,438501
Stock based compensation,-,17115,30148,45409
Change in working capital,-,-673381,-670518,-193664
Inventory,-,-492934,-391441,-17110
Other working capital,-,1952120,1974461,2107969
Other non-cash items,-,80585,38441,82485
Net cash provided by operating activites,-,2699144,2429504,2737625
Investments in property plant and equipment,-,-747024,-455043,-629656
Acquisitions net,-,-806926,-,-
Purchases of investments,-,-,-80000,-
Other investing activites,-,2180,28095,-16756
Net cash used for investing activites,-,-1551770,-506948,-646412
Net change in cash,-,240556,1232769,1065694
Cash at beginning of period,-,9893136,8660366,7594671
Cash at end of period,-,10133693,9893136,8660366
Operating Cash Flow,-,2699144,2429504,2737625
Capital Expenditure,-,-747024,-455043,-629656
Free Cash Flow,-,1952120,1974461,2107969
