Breakdown,ttm,3/31/2019,3/31/2018,3/31/2017
Net Income,47654000,56993000,18103000,14201000
Depreciation & amortization,8000000,4967000,5024000,5158000
Stock based compensation,-,481000,85000,682000
Change in working capital,6983000,-25382000,1023000,-2059000
Inventory,1633000,-6901000,-10479000,-5268000
Other working capital,55312000,38389000,23526000,11424000
Other non-cash items,-1492000,2255000,1233000,-36000
Net cash provided by operating activites,62813000,44792000,28254000,15833000
Investments in property plant and equipment,-7501000,-6403000,-4728000,-4409000
Acquisitions net,-,-11482000,-,-
Purchases of investments,-,0,-216000,-
Sales/Maturities of investments,-,0,883000,653000
Other investing activites,53000,43000,-150000,45000
Net cash used for investing activites,-18909000,-15915000,-2329000,-3521000
Net change in cash,25011000,15970000,8649000,9894000
Cash at beginning of period,124778000,103973000,95324000,85430000
Cash at end of period,152331000,119943000,103973000,95324000
Operating Cash Flow,62813000,44792000,28254000,15833000
Capital Expenditure,-7501000,-6403000,-4728000,-4409000
Free Cash Flow,55312000,38389000,23526000,11424000
