Breakdown,12/31/2019,12/31/2018,12/31/2017,12/31/2016
Total Assets,1054260,853903,716782,673925
Liabilities,,,,
Total Liabilities,932601,759097,633166,614469
Stockholders' Equity,,,,
Common Stock,67,57,53,41
Retained Earnings,55391,46926,43939,41240
Accumulated other comprehensive income,1329,-1111,313,-411
Total stockholders' equity,121659,94806,83616,59456
Total liabilities and stockholders' equity,1054260,853903,716782,673925
