Breakdown,ttm,12/31/2019,12/31/2018,12/31/2017,12/31/2016
Investments in property plant and equipment,-749.093,-749.093,-584.032,-629.468,-28.793
Acquisitions net,-,-,-,-,-0.913
Purchases of investments,-6,-6,-,-935.509,-
Sales/Maturities of investments,-,-,282.386,-,-
Other investing activites,-,-,0.311,25,0.001
Net cash used for investing activites,-755.093,-755.093,-300.335,-1456,-29.705
Common stock issued,7020,7020,4410,0.9,7285
Common stock repurchased,-390.452,-390.452,-24.25,-,-605.485
Other financing activites,-1,-1,-1,-92.842,-
Net cash used privided by (used for) financing activities,6630,6630,4386,-91.942,6679
Net change in cash,1895,1895,218.673,-3965,5638
Cash at beginning of period,2395,2395,2078,6043,405.074
Cash at end of period,4293,4293,2395,2078,6043
Capital Expenditure,-749.093,-749.093,-584.032,-629.468,-28.793
Free Cash Flow,-4729,-4729,-4451,-3047,-1040
