Breakdown,ttm,6/30/2019
Total Revenue,14871,10629
Income Before Tax,12573,8868
Income Tax Expense,0,0
Income from Continuing Operations,12573,8868
Net Income,12573,8868
Net Income available to common shareholders,12573,8868
Basic EPS,-,0.10
Diluted EPS,-,0.10
Basic Average Shares,-,88932
Diluted Average Shares,-,88932
