Breakdown,ttm,12/31/2018,12/31/2017,12/31/2016
Total Revenue,1438243,1222288,1437911,1147138
Interest Expense,4615,4348,3170,2761
Total Other Income/Expenses Net,127918,136154,21975,1711
Income Before Tax,429838,294187,504032,400894
Income Tax Expense,40699,36893,34152,31856
Income from Continuing Operations,389139,257294,469880,369038
Net Income,389693,255889,468187,367271
Net Income available to common shareholders,389693,255889,468187,367271
Basic EPS,-,0.26,0.48,0.37
Diluted EPS,-,0.26,0.48,0.37
Basic Average Shares,-,975956,978478,997454
Diluted Average Shares,-,975956,978478,997454
