Breakdown,ttm,3/31/2019,3/31/2018,3/31/2017
Net Income,118430,88616,92835,178625
Depreciation & amortization,-,19778,23594,15030
Change in working capital,-,-16465,-132776,42931
Inventory,-,-5555,10422,-11658
Other working capital,-,89671,-42773,253439
Other non-cash items,-,-4142,25790,10151
Net cash provided by operating activites,-,93755,649,255140
Investments in property plant and equipment,-,-4084,-43422,-1701
Purchases of investments,-,-1834254,-11222,-
Sales/Maturities of investments,-,2000000,0,300000
Other investing activites,-,-9226,-6584,-11530
Net cash used for investing activites,-,152436,-61228,286769
Net change in cash,-,208316,-90099,513494
Cash at beginning of period,-,1447683,1537782,1024288
Cash at end of period,-,1656000,1447683,1537782
Operating Cash Flow,-,93755,649,255140
Capital Expenditure,-,-4084,-43422,-1701
Free Cash Flow,-,89671,-42773,253439
