Breakdown,ttm,3/31/2019,3/31/2018,3/31/2017
Total Revenue,92356,71319,32163,43247
Selling General and Administrative,2415,2148,1748,1440
Total Operating Expenses,2415,2148,1748,1440
Interest Expense,4456,3173,1349,527.09
Income Before Tax,89941,69171,30414,41807
Income from Continuing Operations,89941,69171,30414,41807
Net Income,89941,69171,30414,41807
Net Income available to common shareholders,89941,69171,30414,41807
Basic EPS,-,0.07,0.04,0.09
Diluted EPS,-,0.07,0.04,0.09
Basic Average Shares,-,931779,732689,485332
Diluted Average Shares,-,931779,732689,485332
