Breakdown,ttm,3/31/2019,3/31/2018,3/31/2017
Net Income,15269000,15264000,13727000,13646000
Depreciation & amortization,4586000,4166000,3367000,3343000
Change in working capital,1547000,6784000,-23102000,2166000
Inventory,848000,5520000,-22656000,-264000
Other working capital,13484000,19202000,-31166000,13290000
Other non-cash items,1956000,1512000,1218000,1182000
Net cash provided by operating activites,22076000,28174000,-4668000,20713000
Investments in property plant and equipment,-8592000,-8972000,-26498000,-7423000
Acquisitions net,-,-22000,-314000,-18000
Purchases of investments,-738000,-1991000,-572000,-2561000
Sales/Maturities of investments,609000,515000,177000,1585000
Other investing activites,266000,327000,-259000,-649000
Net cash used for investing activites,-8548000,-10092000,-27318000,-8971000
Net change in cash,9495000,2727000,-8400000,4333000
Cash at beginning of period,36724000,38447000,46847000,42115000
Cash at end of period,46123000,41174000,38447000,46847000
Operating Cash Flow,22076000,28174000,-4668000,20713000
Capital Expenditure,-8592000,-8972000,-26498000,-7423000
Free Cash Flow,13484000,19202000,-31166000,13290000
