Breakdown,ttm,3/31/2019,3/31/2018,3/31/2017
Net Income,-567832,134682,560291,409072
Depreciation & amortization,-,274791,308588,318296
Change in working capital,-,147130,-469516,-47856
Inventory,-,74620,125966,200029
Other working capital,-,-22783,915145,361886
Other non-cash items,-,-205650,521953,-82925
Net cash provided by operating activites,-,257840,1175338,559741
Investments in property plant and equipment,-,-280623,-260193,-197855
Purchases of investments,-,-62000,-,-
Sales/Maturities of investments,-,449034,-,60806
Other investing activites,-,346850,300319,354565
Net cash used for investing activites,-,478704,59784,347134
Net change in cash,-,-292707,-182757,-17964
Cash at beginning of period,-,1808173,1990931,2008896
Cash at end of period,-,1515465,1808173,1990931
Operating Cash Flow,-,257840,1175338,559741
Capital Expenditure,-,-280623,-260193,-197855
Free Cash Flow,-,-22783,915145,361886
