Breakdown,ttm,3/31/2019,3/31/2018,3/31/2017
Net Income,6043000,5630000,4730000,4780000
Depreciation & amortization,-,1602000,1360000,1353000
Change in working capital,-,-3984000,314000,-3775000
Inventory,-,-808000,-1295000,-356000
Other working capital,-,2857000,6202000,370000
Other non-cash items,-,178000,64000,-9000
Net cash provided by operating activites,-,3196000,6653000,625000
Investments in property plant and equipment,-,-339000,-451000,-255000
Acquisitions net,-,-1037000,-126000,-
Purchases of investments,-,-291000,-52000,-407000
Sales/Maturities of investments,-,281000,27000,238000
Other investing activites,-,73000,255000,111000
Net cash used for investing activites,-,-1421000,821000,58000
Net change in cash,-,-2734000,5228000,-1003000
Cash at beginning of period,-,14776000,9493000,10496000
Cash at end of period,-,12042000,14776000,9493000
Operating Cash Flow,-,3196000,6653000,625000
Capital Expenditure,-,-339000,-451000,-255000
Free Cash Flow,-,2857000,6202000,370000
