Breakdown,12/31/2019,12/31/2018,12/31/2017,12/31/2016
Total Assets,241802,197694,170453,154974
Liabilities,,,,
Total Liabilities,217720,174553,151128,136581
Stockholders' Equity,,,,
Common Stock,29.607,29.593,17.192,17.192
Retained Earnings,17018,16219,13878,13003
Accumulated other comprehensive income,-290.989,-252.442,-203.985,-201.268
Total stockholders' equity,24081,23141,19325,18392
Total liabilities and stockholders' equity,241802,197694,170453,154974
