Breakdown,ttm,6/30/2019,6/30/2018,6/30/2017,6/30/2016
Investments in property plant and equipment,-3427,-2410,-1080,-397,-
Purchases of investments,-,-35012,-,-,-
Sales/Maturities of investments,-,-,-,-,116
Other investing activites,-,-,-,500,-
Net cash used for investing activites,21577,-37386,-1047,313,1538
Debt repayment,-,-42,-145,-109,-
Common stock issued,-,70915,5364,3891,4167
Net cash used privided by (used for) financing activities,-1574,69889,5238,3279,3720
Net change in cash,10486,23085,428,-1410,-1827
Cash at beginning of period,41157,2048,1620,3030,4857
Cash at end of period,51643,25133,2048,1620,3030
Capital Expenditure,-3427,-2410,-1080,-397,-
Free Cash Flow,-12944,-11828,-4843,-5399,-7085
