Breakdown,6/30/2019,6/30/2018,6/30/2017,6/30/2016
Total Assets,366547,310444,298047,293251
Liabilities,,,,
Total Liabilities,27799,8880,4353,3251
Stockholders' Equity,,,,
Common Stock,278431,279074,282062,281151
Retained Earnings,668,-7770,-6470,478
Accumulated other comprehensive income,59649,30260,18102,8371
Total stockholders' equity,338748,301564,293694,290000
Total liabilities and stockholders' equity,366547,310444,298047,293251
