Breakdown,ttm,3/31/2019,3/31/2018,3/31/2017
Net Income,521231,480702,638303,584328
Depreciation & amortization,-,477479,508296,449133
Change in working capital,-,130096,188774,-222829
Inventory,-,-104573,-135288,89226
Other working capital,-,779533,923517,652276
Other non-cash items,-,-26187,-3096,-15851
Net cash provided by operating activites,-,1080385,1257875,913225
Investments in property plant and equipment,-,-300852,-334358,-260949
Purchases of investments,-,-17784938,-12222249,-9347466
Sales/Maturities of investments,-,17537157,11837418,10341331
Other investing activites,-,-7889,-155121,490863
Net cash used for investing activites,-,-552519,-851266,1226347
Net change in cash,-,396515,289073,1987290
Cash at beginning of period,-,3617312,3328239,1340948
Cash at end of period,-,4013828,3617312,3328239
Operating Cash Flow,-,1080385,1257875,913225
Capital Expenditure,-,-300852,-334358,-260949
Free Cash Flow,-,779533,923517,652276
