Breakdown,12/31/2019,12/31/2018,12/31/2017,12/31/2016
Total Assets,2181476,2118822,2083070,2076018
Liabilities,,,,
Total Liabilities,1949452,1881793,1835789,1837622
Stockholders' Equity,,,,
Common Stock,266,284,305,304
Retained Earnings,82176,74108,62578,51711
Accumulated other comprehensive income,-8968,-13416,-12552,-12661
Total stockholders' equity,232024,237029,247281,238396
Total liabilities and stockholders' equity,2181476,2118822,2083070,2076018
