Breakdown,ttm,12/31/2019,12/31/2018,12/31/2017,12/31/2016
Investments in property plant and equipment,-39.1769,-39.1769,-368.2214,-163.661,-603.4493
Acquisitions net,-5255,-5255,-1191,-,-
Purchases of investments,-,-,-,-,-12517
Net cash used for investing activites,-4117,-4117,-1551,-155.5151,-12976
Debt repayment,-2225,-2225,-,-,-
Other financing activites,-345.38,-345.38,-,-,-48.1499
Net cash used privided by (used for) financing activities,3910,3910,1718,3701,3510
Net change in cash,1749,1749,1008,937.7003,-16159
Cash at beginning of period,3230,3230,2298,1047,17343
Cash at end of period,4941,4941,3186,2083,1138
Capital Expenditure,-39.1769,-39.1769,-368.2214,-163.661,-603.4493
Free Cash Flow,1917,1917,472.4555,-2771,-7297
