Breakdown,12/31/2019,12/31/2018,12/31/2017,12/31/2016
Total Assets,20166734,20695678,20549461,19661829
Liabilities,,,,
Total Liabilities,17526476,18170839,18016910,17185344
Stockholders' Equity,,,,
Common Stock,1399,1397,1396,1395
Retained Earnings,437072,291919,139177,78850
Accumulated other comprehensive income,-31749,-132195,-96383,-88011
Total stockholders' equity,2640258,2524839,2532551,2476485
Total liabilities and stockholders' equity,20166734,20695678,20549461,19661829
