Breakdown,ttm,3/31/2019,3/31/2018,3/31/2017
Net Income,-14085000,280000,2904000,3504000
Depreciation & amortization,-,4773000,3605000,3273000
Change in working capital,-,-1693000,-9135000,-1725000
Inventory,-,-1004000,-2355000,900000
Other working capital,-,-2201000,-9885000,51000
Other non-cash items,-,1008000,-2841000,-92000
Net cash provided by operating activites,-,2843000,-4520000,5377000
Investments in property plant and equipment,-,-5044000,-5365000,-5326000
Acquisitions net,-,-1590000,-2478000,-
Purchases of investments,-,-194000,-10000,-10000
Sales/Maturities of investments,-,2631000,528000,2363000
Other investing activites,-,59000,251000,-111000
Net cash used for investing activites,-,-3907000,-6975000,-3376000
Net change in cash,-,-2285000,-10303000,8613000
Cash at beginning of period,-,28376000,38680000,29766000
Cash at end of period,-,26091000,28376000,38680000
Operating Cash Flow,-,2843000,-4520000,5377000
Capital Expenditure,-,-5044000,-5365000,-5326000
Free Cash Flow,-,-2201000,-9885000,51000
