Breakdown,6/30/2019,6/30/2018,6/30/2017,6/30/2016
Total Assets,72570300,71439800,71415500,68580900
Liabilities,,,,
Total Liabilities,66938700,65819500,65989900,63464400
Stockholders' Equity,,,,
Common Stock,4570500,4523300,4448700,4288200
Retained Earnings,987300,975900,864600,740400
Accumulated other comprehensive income,73800,121100,112300,87900
Total stockholders' equity,5631600,5620300,5425600,5116500
Total liabilities and stockholders' equity,72570300,71439800,71415500,68580900
