Breakdown,ttm,6/30/2019,6/30/2018,6/30/2017,6/30/2016
Total Revenue,110599,110599,101423,92789,68091
Interest Expense,9257,9257,6733,2475,1571
Income Before Tax,19867,19867,12661,12394,5070
Income Tax Expense,3823,3823,4244,768,927
Income from Continuing Operations,16044,16044,8417,11626,4143
Net Income,15522,15522,-4848,11626,4143
Net Income available to common shareholders,15522,15522,-4848,11626,4143
Basic EPS,-,0.16,-0.05,0.13,0.06
Diluted EPS,-,0.16,-0.05,0.12,0.05
Basic Average Shares,-,96771,91179,87465,70653
Diluted Average Shares,-,96771,91179,95295,77151
