Breakdown,ttm,12/31/2019,12/31/2018,6/30/2017,6/30/2016
Investments in property plant and equipment,-11447,-11447,-11507,-24925,-24042
Net cash used for investing activites,-11447,-11447,-11507,-24925,-24042
Common stock issued,-,-,225,6085,375
Common stock repurchased,-,-,-5.911,-38.966,-4.128
Net cash used privided by (used for) financing activities,-,-,219.089,6046,370.872
Net change in cash,-14582,-14582,-13783,-22658,-24728
Cash at beginning of period,55158,55158,65577,93932,118776
Cash at end of period,39980,39980,55158,69560,93932
Capital Expenditure,-11447,-11447,-11507,-24925,-24042
Free Cash Flow,-14582,-14582,-14002,-28704,-25099
