Breakdown,3/31/2019,3/31/2018,3/31/2017
Total Assets,339383,324108,308465
Liabilities,,,
Total Liabilities,2033,1007,985
Stockholders' Equity,,,
Common Stock,1200,1200,1200
Retained Earnings,335850,321601,305980
Total stockholders' equity,337350,323101,307480
Total liabilities and stockholders' equity,339383,324108,308465
