Breakdown,ttm,3/31/2019,3/31/2018,3/31/2017
Net Income,-73985,-46776,65661,95807
Depreciation & amortization,-,14188,13428,13343
Change in working capital,-,-13096,17903,-16075
Inventory,-,18333,-7038,-8865
Other working capital,59338,25105,41550,43103
Other non-cash items,-,11363,5957,6716
Net cash provided by operating activites,63804,29570,57694,52642
Investments in property plant and equipment,-,-4465,-16144,-9539
Acquisitions net,-,-,-,0
Purchases of investments,-,-,0,-190.67
Sales/Maturities of investments,-,0,25902,0
Other investing activites,-,167.857,150.016,-1628
Net cash used for investing activites,6466,-114530,21920,-11618
Net change in cash,19200,2800,6080,2469
Cash at beginning of period,90332,90241,81833,81359
Cash at end of period,109532,91013,90241,81833
Operating Cash Flow,63804,29570,57694,52642
Capital Expenditure,-,-4465,-16144,-9539
Free Cash Flow,59338,25105,41550,43103
