Breakdown,ttm,6/30/2019
Investments in property plant and equipment,-1536,-2756
Acquisitions net,-12108,-23332
Purchases of investments,-,-10
Other investing activites,-,-1094
Net cash used for investing activites,-13367,-27185
Debt repayment,-,-14510
Common stock issued,2963,30728
Common stock repurchased,-400,-1747
Dividends Paid,1371,-692
Other financing activites,-,-2494
Net cash used privided by (used for) financing activities,8241,31233
Net change in cash,-1825,2372
Cash at beginning of period,4347,166
Cash at end of period,2522,2538
Capital Expenditure,-1536,-2756
Free Cash Flow,1765,-4432
