Breakdown,ttm,12/31/2019,12/31/2018,12/31/2017,12/31/2016
Total Revenue,74305,74305,69410,68163,64247
Interest Expense,32245,32245,22735,12977,7876
Income Before Tax,35742,35742,35068,36438,32952
Income Tax Expense,7052,7052,6560,13368,9936
Income from Continuing Operations,28690,28690,28508,23070,23016
Net Income,28690,28690,28508,23070,23016
Net Income available to common shareholders,28690,28690,28508,23070,23016
Basic EPS,-,-,1.75,1.43,1.42
Diluted EPS,-,-,1.75,1.41,1.42
Basic Average Shares,-,-,16295,16133,16208
Diluted Average Shares,-,-,16295,16362,16208
