Breakdown,ttm,3/31/2019,3/31/2018,3/31/2017
Net Income,-1791000,-2841000,-2266000,246000
Depreciation & amortization,-,1381000,1415000,1466000
Stock based compensation,-,1000,3000,2000
Change in working capital,-,-198000,-206000,433000
Inventory,-,36000,-27000,15000
Other working capital,-,-930000,-150000,1428000
Other non-cash items,-,86000,139000,77000
Net cash provided by operating activites,-,262000,989000,2698000
Investments in property plant and equipment,-,-1192000,-1139000,-1270000
Purchases of investments,-,-110000,-,-
Sales/Maturities of investments,-,45000,364000,0
Other investing activites,-,96000,-56000,63000
Net cash used for investing activites,-,-1160000,-619000,-1205000
Net change in cash,-,-1126000,1052000,-150000
Cash at beginning of period,-,3770000,2717000,2868000
Cash at end of period,-,2643000,3770000,2717000
Operating Cash Flow,-,262000,989000,2698000
Capital Expenditure,-,-1192000,-1139000,-1270000
Free Cash Flow,-,-930000,-150000,1428000
