Breakdown,ttm,12/31/2019
Total Revenue,84134,84134
Gross Profit,84134,84134
Research Development,45879,45879
Selling General and Administrative,61637,61637
Total Operating Expenses,125548,125548
Operating Income or Loss,-41415,-41415
Interest Expense,274.0508,274.0508
Total Other Income/Expenses Net,362.5464,362.5464
Income Before Tax,-41326,-41326
Income Tax Expense,0,0
Income from Continuing Operations,-41326,-41326
Net Income,-41326,-41326
Net Income available to common shareholders,-41326,-41326
