Breakdown,ttm,6/30/2019,6/30/2018,6/30/2017,6/30/2016
Investments in property plant and equipment,-2005,-4298,-2569,-109.668,-
Net cash used for investing activites,-1988,-4298,-2569,-109.668,-
Debt repayment,-,-,-180,550,-
Common stock issued,3115,3948,7049,561,460
Common stock repurchased,-267.849,-274.898,-871.232,-45.732,-233
Net cash used privided by (used for) financing activities,2847,3673,6178,1065,227
Net change in cash,-668.385,-2093,2050,575.441,-720
Cash at beginning of period,1621,2624,577.272,1.831,722
Cash at end of period,953.055,530.674,2624,577.272,2
Capital Expenditure,-2005,-4298,-2569,-109.668,-
Free Cash Flow,-3533,-5767,-4128,-489.827,-947
