Breakdown,3/31/2019,3/31/2018,3/31/2017
Total Assets,493485,469765,475826
Liabilities,,,
Total Liabilities,73546,79982,86375
Stockholders' Equity,,,
Common Stock,239244,220292,205687
Retained Earnings,45040,24243,23180
Accumulated other comprehensive income,135655,145248,160584
Total stockholders' equity,419939,389783,389451
Total liabilities and stockholders' equity,493485,469765,475826
