Breakdown,ttm,3/31/2019,3/31/2018,3/31/2017
Net Income,3888000,4007000,3624000,4070000
Depreciation & amortization,-,2289000,1986000,2043000
Change in working capital,-,-1471000,-2196000,710000
Inventory,-,-318000,-1576000,758000
Other working capital,-,1372000,1868000,5886000
Other non-cash items,-,18000,508000,292000
Net cash provided by operating activites,-,4830000,4002000,7375000
Investments in property plant and equipment,-,-3458000,-2134000,-1489000
Acquisitions net,-,-,-2749000,-
Purchases of investments,-,-11000,-10000,-163000
Sales/Maturities of investments,-,-,0,30000
Other investing activites,-,-318000,-99000,-127000
Net cash used for investing activites,-,-3787000,-4992000,-1749000
Net change in cash,-,2301000,-1528000,4153000
Cash at beginning of period,-,11086000,12614000,8461000
Cash at end of period,-,13388000,11086000,12614000
Operating Cash Flow,-,4830000,4002000,7375000
Capital Expenditure,-,-3458000,-2134000,-1489000
Free Cash Flow,-,1372000,1868000,5886000
