Breakdown,ttm,3/31/2019,3/31/2018
Total Revenue,5544979,5544979,4964794
Cost of Revenue,4383658,4383658,3950858
Gross Profit,1161320,1161320,1013936
Total Operating Expenses,904323,904323,778152
Operating Income or Loss,256997,256997,235784
Interest Expense,619,619,599
Income Before Tax,259539,259539,241174
Income Tax Expense,83088,83088,80690
Income from Continuing Operations,176451,176451,160484
Net Income,176451,176451,160483
Net Income available to common shareholders,176451,176451,160483
Basic EPS,-,-,164.90
Diluted EPS,-,-,164.90
Basic Average Shares,-,-,973.2
Diluted Average Shares,-,-,973.2
