Breakdown,ttm,2/28/2019,2/28/2018,2/28/2017
Net Income,-421798,-1117879,-535864,-32656
Depreciation & amortization,-,157624,70631,58009
Change in working capital,-,30905,18739,74671
Inventory,-,37300,-78,71196
Other working capital,-,-709225,-674349,-12677
Other non-cash items,-,64253,-35656,-30425
Net cash provided by operating activites,-,-391232,-358641,126295
Investments in property plant and equipment,-,-317993,-315708,-138972
Acquisitions net,-,-,-272300,-
Purchases of investments,-,-600,-,-
Other investing activites,-,-192,-,-18405
Net cash used for investing activites,-,-315786,-623008,-157377
Net change in cash,-,331027,-502227,473628
Cash at beginning of period,-,521387,791963,318335
Cash at end of period,-,852414,289735,791963
Operating Cash Flow,-,-391232,-358641,126295
Capital Expenditure,-,-317993,-315708,-138972
Free Cash Flow,-,-709225,-674349,-12677
