Breakdown,ttm,6/30/2019,6/30/2018
Investments in property plant and equipment,-392.861,-469.499,-821.045
Acquisitions net,-,-,-1841
Other investing activites,-,-,-1572
Net cash used for investing activites,-320.694,-439.006,-4234
Debt repayment,-,-,-303.314
Common stock issued,-,585.2,7500
Common stock repurchased,-,-,-1247
Other financing activites,-,385.864,7500
Net cash used privided by (used for) financing activities,-,971.064,6907
Net change in cash,639.556,-1339,1705
Cash at beginning of period,1255,1705,138.236
Cash at end of period,1895,366.448,1705
Capital Expenditure,-392.861,-469.499,-821.045
Free Cash Flow,-1794,-2340,-1789
