Breakdown,ttm,6/30/2019,6/30/2018,6/30/2017,6/30/2016
Investments in property plant and equipment,-68.174,-44.906,-18.021,-815.562,-694.557
Other investing activites,-,-143.925,16.034,-16.255,-14.421
Net cash used for investing activites,-3067,-113.16,-1.987,-831.817,-300.117
Debt repayment,-2120,-89.886,-50,-25.119,23.43
Common stock issued,4223,3443,1093,-,3500
Common stock repurchased,-315.494,-245.424,-50.702,-3.333,-282.591
Other financing activites,-,-,-52.504,-0.06,-12.754
Net cash used privided by (used for) financing activities,6787,3108,989.294,-28.512,3228
Net change in cash,536.843,1706,-158.198,-2153,2738
Cash at beginning of period,159.927,466.642,624.251,2777,39.222
Cash at end of period,696.77,2172,466.642,624.251,2777
Capital Expenditure,-68.174,-44.906,-18.021,-815.562,-694.557
Free Cash Flow,-3252,-1334,-1164,-2108,-884.549
