Breakdown,ttm,3/31/2019,3/31/2018,3/31/2017
Net Income,1110427,1317437,1508270,1068882
Depreciation & amortization,1068373,1073512,1156094,1039736
Change in working capital,110427,-182050,151249,471072
Inventory,-56991,-133754,-88487,308093
Other working capital,627384,1609836,1060058,1291743
Other non-cash items,-44286,196158,-128598,225989
Net cash provided by operating activites,2011895,2528600,2370136,3489654
Investments in property plant and equipment,-1384511,-918764,-1310078,-2197911
Purchases of investments,-50598,-742375,-120651,-377409
Sales/Maturities of investments,-,-,699470,139600
Other investing activites,-1589,-668,29767,27
Net cash used for investing activites,-1385557,-1659367,-699029,-2432760
Net change in cash,274840,248431,1525504,-838045
Cash at beginning of period,11036134,11091620,9566116,10404162
Cash at end of period,11255728,11340051,11091620,9566116
Operating Cash Flow,2011895,2528600,2370136,3489654
Capital Expenditure,-1384511,-918764,-1310078,-2197911
Free Cash Flow,627384,1609836,1060058,1291743
