Breakdown,ttm,6/30/2019,6/30/2018,6/30/2017,6/30/2016
Investments in property plant and equipment,-442,-372,-139,-368,-694
Acquisitions net,-,-1632,-8668,-,-
Purchases of investments,-54079,-2665,-6081,-24748,-18607
Sales/Maturities of investments,2888,2147,19580,9350,3516
Other investing activites,-,-,171,108,-1300
Net cash used for investing activites,-54162,-2518,4888,-15658,-17085
Common stock issued,270554,208,463,1978,2685
Dividends Paid,-326246,-287596,-156948,-126708,-142028
Other financing activites,401,2160,2266,-,-
Net cash used privided by (used for) financing activities,-55291,-285228,-154219,-122831,-138079
Net change in cash,269847,27045,21002,26202,26381
Cash at beginning of period,159790,169095,146243,120362,93934
Cash at end of period,429637,198188,169095,146243,120362
Capital Expenditure,-442,-372,-139,-368,-694
Free Cash Flow,378858,314419,170194,164323,180851
