Breakdown,12/31/2019,12/31/2018,12/31/2017,12/31/2016
Total Assets,2267195,1900614,1624625,1340908
Liabilities,,,,
Total Liabilities,2061335,1726698,1474939,1231036
Stockholders' Equity,,,,
Common Stock,77,75,73,65
Retained Earnings,100732,72874,50585,37540
Accumulated other comprehensive income,-298,-917,-456,-504
Total stockholders' equity,205860,173916,149686,109872
Total liabilities and stockholders' equity,2267195,1900614,1624625,1340908
