Breakdown,ttm,3/31/2019,3/31/2018,3/31/2017
Net Income,23324000,25046000,23035000,18145000
Depreciation & amortization,-,22945000,24598000,24358000
Change in working capital,-,-11332000,-7181000,-3543000
Inventory,-,-5501000,-3424000,781000
Other working capital,-,5202000,23407000,16974000
Other non-cash items,-,-912000,5882000,839000
Net cash provided by operating activites,-,32660000,48776000,39557000
Investments in property plant and equipment,-,-27458000,-25369000,-22583000
Acquisitions net,-,-92000,-4296000,-2000
Purchases of investments,-,-58000,-34000,-1083000
Sales/Maturities of investments,-,946000,166000,1177000
Other investing activites,-,436000,228000,138000
Net cash used for investing activites,-,-26176000,-29298000,-22258000
Net change in cash,-,-2176000,3676000,-2073000
Cash at beginning of period,-,14101000,10174000,11813000
Cash at end of period,-,13889000,14101000,10174000
Operating Cash Flow,-,32660000,48776000,39557000
Capital Expenditure,-,-27458000,-25369000,-22583000
Free Cash Flow,-,5202000,23407000,16974000
