Breakdown,ttm,2/28/2019,2/28/2018,2/28/2017
Net Income,5706000,7185000,7760000,6499000
Depreciation & amortization,-,3385000,3287000,3096000
Change in working capital,-,99000,-4892000,-616000
Inventory,-,-2158000,-2466000,-2093000
Other working capital,-,-956000,-1249000,5446000
Other non-cash items,-,246000,138000,651000
Net cash provided by operating activites,-,11538000,5601000,9914000
Investments in property plant and equipment,-,-12494000,-6850000,-4468000
Acquisitions net,-,-,-224000,-49000
Purchases of investments,-,-1554000,-1671000,-1762000
Sales/Maturities of investments,-,203000,765000,1486000
Other investing activites,-,-621000,246000,605000
Net cash used for investing activites,-,-14009000,-8846000,-4293000
Net change in cash,-,4142000,-130000,8421000
Cash at beginning of period,-,35310000,35441000,27019000
Cash at end of period,-,39453000,35310000,35441000
Operating Cash Flow,-,11538000,5601000,9914000
Capital Expenditure,-,-12494000,-6850000,-4468000
Free Cash Flow,-,-956000,-1249000,5446000
