Attribute,Value
Previous Close,19.69
Open,19.55
Bid,N/A x N/A
Ask,N/A x N/A
Day's Range,19.55 - 19.55
52 Week Range,11.00 - 26.70
Volume,150
Avg. Volume,
Net Assets,
NAV,
PE Ratio (TTM),
Yield,
YTD Daily Total Return,
Beta (5Y Monthly),
Expense Ratio (net),
Inception Date,
