Breakdown,12/31/2019,12/31/2018,12/31/2017,12/31/2016
Total Assets,1596755,1537836,1661655,1443323
Liabilities,,,,
Total Liabilities,1368627,1318098,1452096,1279290
Stockholders' Equity,,,,
Common Stock,89379,103851,103314,71645
Retained Earnings,135932,120294,103419,92904
Accumulated other comprehensive income,2817,-4407,2826,-516
Total stockholders' equity,228128,219738,209559,164033
Total liabilities and stockholders' equity,1596755,1537836,1661655,1443323
