Breakdown,ttm,12/31/2018,12/31/2017,12/31/2016
Net Income,30200,28300,23800,137500
Depreciation & amortization,3800,3100,2800,2200
Stock based compensation,1100,800,0,200
Change in working capital,-86900,-292500,3100,-225500
Other working capital,-25100,-230300,71400,-182600
Net cash provided by operating activites,-17600,-227800,75600,-176500
Investments in property plant and equipment,-7500,-2500,-4200,-6100
Other investing activites,-,-,37100,-
Net cash used for investing activites,-7500,-2500,32900,-6100
Net change in cash,8300,-45900,94500,-223700
Cash at beginning of period,160900,260400,130200,143300
Cash at end of period,169200,214500,260400,130200
Operating Cash Flow,-17600,-227800,75600,-176500
Capital Expenditure,-7500,-2500,-4200,-6100
Free Cash Flow,-25100,-230300,71400,-182600
