Breakdown,ttm,6/30/2019,6/30/2018,6/30/2017,6/30/2016
Investments in property plant and equipment,-,-,-,-,-9
Purchases of investments,-119385,-181937,-102544,-75796,-43451
Sales/Maturities of investments,111142,76633,79543,26335,29886
Other investing activites,527,1130,21,-12,137
Net cash used for investing activites,-7718,-104174,-22980,-49473,-13437
Common stock issued,-29,-31,150392,20985,27883
Dividends Paid,-62402,-55883,-38937,-36987,-34766
Net cash used privided by (used for) financing activities,-62431,-55914,111455,-16002,-6883
Net change in cash,-15545,-88714,136597,-22767,22607
Cash at beginning of period,96838,177570,40973,63740,41133
Cash at end of period,81293,88856,177570,40973,63740
Capital Expenditure,-,-,-,-,-9
Free Cash Flow,54602,71374,48122,42708,42918
