Breakdown,ttm,6/30/2019,6/30/2018,6/30/2017,6/30/2016
Other investing activites,-,-,107.983,-,-
Net cash used for investing activites,-,-,107.983,-,669.854
Debt repayment,-,-,-,-69.387,-
Common stock issued,7498,8286,2813,-,-
Common stock repurchased,-,-604.024,-160.436,-,-
Net cash used privided by (used for) financing activities,6894,7682,2653,-69.387,-
Net change in cash,4986,6111,795.606,-2448,2538
Cash at beginning of period,3713,1446,650.051,3098,1796
Cash at end of period,8699,7557,1446,650.051,4334
Free Cash Flow,-1908,-1571,-1965,-2378,-570.613
