Breakdown,ttm,3/31/2019,3/31/2018,3/31/2017
Net Income,2855000,3193000,3132000,3107000
Depreciation & amortization,2339000,2327000,1960000,1792000
Change in working capital,-351000,-165000,-1756000,-1712000
Inventory,-32000,-72000,-1191000,-598000
Other working capital,3526000,781000,-1839000,-1535000
Other non-cash items,-322000,-348000,-853000,100000
Net cash provided by operating activites,5172000,5584000,3228000,3899000
Investments in property plant and equipment,-1646000,-4803000,-5067000,-5434000
Purchases of investments,-730000,-639000,-4000,-561000
Sales/Maturities of investments,673000,683000,27000,400000
Other investing activites,-207000,-1000,-1000,-122000
Net cash used for investing activites,-1893000,-4743000,-5039000,-5349000
Net change in cash,1358000,-140000,-2750000,-2088000
Cash at beginning of period,6989000,7963000,10713000,12802000
Cash at end of period,8348000,7822000,7963000,10713000
Operating Cash Flow,5172000,5584000,3228000,3899000
Capital Expenditure,-1646000,-4803000,-5067000,-5434000
Free Cash Flow,3526000,781000,-1839000,-1535000
