Breakdown,ttm,2/28/2019,2/28/2018,2/28/2017
Net Income,1186938,969849,1103756,892584
Depreciation & amortization,-,394987,358773,288679
Stock based compensation,-,-,-,2484
Change in working capital,-,318070,-405242,-53693
Inventory,-,118210,-104749,-73549
Other working capital,-,572200,836254,949548
Other non-cash items,-,29838,25883,31320
Net cash provided by operating activites,-,1624768,1103801,1185057
Investments in property plant and equipment,-,-1052568,-267547,-235509
Acquisitions net,-,-60320,-3500,-
Purchases of investments,-,-1180000,-159057,-239230
Sales/Maturities of investments,-,1360000,732,108411
Other investing activites,-,-114886,-127306,-432247
Net cash used for investing activites,-,-1044351,-271674,-1041075
Net change in cash,-,415468,964451,853464
Cash at beginning of period,-,4157332,3278584,2425120
Cash at end of period,-,4572801,4157332,3278584
Operating Cash Flow,-,1624768,1103801,1185057
Capital Expenditure,-,-1052568,-267547,-235509
Free Cash Flow,-,572200,836254,949548
