Breakdown,12/31/2019,12/31/2018,12/31/2017,12/31/2016
Total Assets,1207443,1167046,1040160,892158
Liabilities,,,,
Total Liabilities,992487,968535,860511,729869
Stockholders' Equity,,,,
Common Stock,121,124,124,126
Retained Earnings,135112,114935,97035,78798
Accumulated other comprehensive income,58,-44,-96,-138
Total stockholders' equity,214956,198511,179649,162289
Total liabilities and stockholders' equity,1207443,1167046,1040160,892158
