Breakdown,ttm,3/31/2019,3/31/2018,3/31/2017
Net Income,8063000,8014000,6490000,6975000
Depreciation & amortization,-,1825000,1569000,1540000
Change in working capital,-,-9492000,1465000,3325000
Inventory,-,-2145000,-226000,-240000
Other working capital,-,-4994000,8039000,9670000
Other non-cash items,-,335000,85000,-10000
Net cash provided by operating activites,-,-1547000,10077000,10746000
Investments in property plant and equipment,-,-3447000,-2038000,-1076000
Acquisitions net,-,-286000,-,-
Purchases of investments,-,-2990000,-2496000,-404000
Sales/Maturities of investments,-,585000,1345000,857000
Other investing activites,-,-834000,-1575000,223000
Net cash used for investing activites,-,-6860000,-4173000,-258000
Net change in cash,-,3352000,2857000,4141000
Cash at beginning of period,-,28879000,26021000,21879000
Cash at end of period,-,32231000,28879000,26021000
Operating Cash Flow,-,-1547000,10077000,10746000
Capital Expenditure,-,-3447000,-2038000,-1076000
Free Cash Flow,-,-4994000,8039000,9670000
