Breakdown,12/31/2019,12/31/2018,12/31/2017,12/31/2016
Total Assets,1150019,997388,856035,733693
Liabilities,,,,
Total Liabilities,1029324,887521,754672,663730
Stockholders' Equity,,,,
Common Stock,6408,6407,6392,16530
Retained Earnings,34097,23931,15768,13854
Accumulated other comprehensive income,-3,-390,-298,-308
Total stockholders' equity,120695,109867,101363,69963
Total liabilities and stockholders' equity,1150019,997388,856035,733693
