Breakdown,ttm,12/31/2019
Total Revenue,0,0
Total Operating Expenses,350.881,350.881
Operating Income or Loss,-350.881,-350.881
Total Other Income/Expenses Net,28.164,28.164
Income Before Tax,3932,3932
Income from Continuing Operations,3932,3932
Net Income,3932,3932
Net Income available to common shareholders,-137.158,-137.158
