Breakdown,ttm,2/28/2019,2/28/2018,2/28/2017
Net Income,5211000,5689000,5408000,5009000
Depreciation & amortization,-,2424000,2444000,2524000
Change in working capital,-,791000,210000,-269000
Inventory,-,486000,-181000,356000
Other working capital,-,4946000,5413000,6139000
Other non-cash items,-,-177000,-13000,-92000
Net cash provided by operating activites,-,10386000,9549000,8546000
Investments in property plant and equipment,-,-5440000,-4136000,-2407000
Acquisitions net,-,-29000,-352000,-
Purchases of investments,-,-1453000,-56000,-4303000
Sales/Maturities of investments,-,-,3602000,2407000
Other investing activites,-,-122000,142000,-167000
Net cash used for investing activites,-,-6979000,-774000,-4315000
Net change in cash,-,3577000,4784000,3830000
Cash at beginning of period,-,14777000,9993000,6163000
Cash at end of period,-,18354000,14777000,9993000
Operating Cash Flow,-,10386000,9549000,8546000
Capital Expenditure,-,-5440000,-4136000,-2407000
Free Cash Flow,-,4946000,5413000,6139000
