Breakdown,3/31/2019,3/31/2018,3/31/2017
Total Assets,218642,214439,225510
Liabilities,,,
Total Liabilities,27198,26655,26047
Stockholders' Equity,,,
Common Stock,1223,1223,1223
Total stockholders' equity,191444,187784,199463
Total liabilities and stockholders' equity,218642,214439,225510
